Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-05-15,CLO,BOG,6:10 a. m.,7:09 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,6:54 a. m.,7:53 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,7:30 a. m.,8:29 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,9:45 a. m.,10:44 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,11:10 a. m.,12:10 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,1:06 p. m.,2:06 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,3:49 p. m.,4:49 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,4:57 p. m.,5:57 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,8:30 p. m.,9:30 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,9:02 p. m.,10:02 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,9:55 p. m.,10:55 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,7:31 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,8:00 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,8:29 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,9:27 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,4:24 a. m.,10:03 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,5:42 a. m.,8:00 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,5:42 a. m.,8:29 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,5:42 a. m.,9:27 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,5:42 a. m.,10:03 a. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-05-15,CLO,BOG,5:42 a. m.,11:29 a. m.,"423.690,00",1 parada,2023-04-18,Latam
